iter	Passed	Remaining
0	2	257
1	6	300
2	8	283
3	10	253
4	13	248
5	15	244
6	18	240
7	21	248
8	27	274
9	29	265
10	32	258
11	37	274
12	43	289
13	49	306
14	55	312
15	63	333
16	67	327
17	69	318
18	73	311
19	76	305
20	78	294
21	80	284
22	82	275
23	85	269
24	87	261
25	89	253
26	91	248
27	94	243
28	96	236
29	98	229
30	100	223
31	102	217
32	104	212
33	108	210
34	111	206
35	114	203
36	118	201
37	128	209
38	133	208
39	136	205
40	140	202
41	143	197
42	146	193
43	149	189
44	152	186
45	158	186
46	162	183
47	166	180
48	172	179
49	177	177
50	181	174
51	183	169
52	185	164
53	187	159
54	188	154
55	190	150
56	193	145
57	195	141
58	198	138
59	200	133
60	202	129
61	204	125
62	206	121
63	208	117
64	211	114
65	213	110
66	215	106
67	217	102
68	221	99
69	223	95
70	226	92
71	229	89
72	232	85
73	234	82
74	236	78
75	238	75
76	241	72
77	243	68
78	246	65
79	249	62
80	251	59
81	255	56
82	258	52
83	260	49
84	263	46
85	266	43
86	297	44
87	300	41
88	305	37
89	334	37
90	337	33
91	340	29
92	343	25
93	346	22
94	348	18
95	352	14
96	355	10
97	360	7
98	363	3
99	367	0
