iter	Passed	Remaining
0	387	386916
1	389	194156
2	390	129923
3	398	99302
4	400	79733
5	402	66731
6	406	57602
7	413	51331
8	415	45775
9	417	41343
10	420	37763
11	425	35034
12	428	32510
13	430	30291
14	432	28409
15	434	26729
16	442	25601
17	445	24314
18	448	23166
19	450	22076
20	452	21101
21	454	20223
22	461	19585
23	463	18848
24	465	18146
25	467	17516
26	489	17656
27	493	17139
28	496	16607
29	499	16146
30	507	15859
31	510	15447
32	514	15069
33	518	14742
34	521	14375
35	525	14061
36	527	13729
37	535	13562
38	538	13263
39	541	12985
40	543	12719
41	550	12562
42	552	12298
43	554	12046
44	556	11814
45	559	11595
46	566	11477
47	568	11276
48	570	11071
49	572	10873
50	573	10680
51	576	10504
52	578	10328
53	582	10212
54	585	10058
55	592	9989
56	596	9862
57	599	9731
58	601	9587
59	610	9561
60	613	9440
61	617	9339
62	622	9261
63	625	9142
64	627	9024
65	629	8904
66	631	8788
67	632	8674
68	635	8572
69	638	8486
70	641	8392
71	647	8345
72	649	8253
73	652	8158
74	653	8062
75	655	7972
76	660	7915
77	662	7834
78	666	7774
79	669	7697
80	688	7811
81	700	7837
82	701	7749
83	704	7679
84	708	7630
85	710	7556
86	712	7481
87	714	7407
88	718	7356
89	723	7314
90	725	7244
91	727	7180
92	729	7113
93	731	7048
94	736	7012
95	738	6956
96	741	6901
97	744	6854
98	751	6839
99	753	6785
100	757	6738
101	764	6734
102	767	6683
103	771	6649
104	782	6673
105	785	6625
106	787	6575
107	822	6795
108	831	6799
109	834	6751
110	836	6702
111	839	6659
112	845	6635
113	848	6596
114	851	6551
115	862	6572
116	864	6522
117	867	6485
118	870	6442
119	895	6563
120	897	6521
121	899	6474
122	902	6431
123	910	6434
124	913	6393
125	916	6354
126	920	6325
127	923	6289
128	927	6262
129	929	6222
130	932	6185
131	941	6187
132	943	6149
133	945	6113
134	948	6077
135	950	6040
136	953	6009
137	956	5974
138	968	5999
139	972	5975
140	984	5995
141	985	5954
142	988	5923
143	998	5932
144	1001	5902
145	1003	5870
146	1010	5861
147	1012	5829
148	1016	5804
149	1019	5777
150	1032	5803
151	1036	5779
152	1042	5772
153	1045	5741
154	1052	5735
155	1055	5711
156	1058	5681
157	1060	5652
158	1068	5653
159	1072	5630
160	1073	5596
161	1076	5568
162	1083	5563
163	1102	5618
164	1104	5588
165	1107	5562
166	1109	5536
167	1113	5515
168	1116	5488
169	1119	5467
170	1122	5440
171	1129	5435
172	1131	5409
173	1134	5383
174	1147	5411
175	1150	5387
176	1162	5404
177	1165	5382
178	1168	5357
179	1170	5332
180	1180	5342
181	1183	5321
182	1194	5332
183	1196	5307
184	1199	5282
185	1231	5389
186	1234	5366
187	1244	5377
188	1247	5352
189	1249	5328
190	1260	5337
191	1263	5317
192	1265	5293
193	1273	5292
194	1277	5274
195	1280	5253
196	1289	5257
197	1293	5239
198	1301	5239
199	1304	5218
200	1307	5197
201	1310	5176
202	1321	5187
203	1324	5166
204	1339	5196
205	1342	5173
206	1344	5151
207	1352	5150
208	1355	5129
209	1357	5106
210	1359	5084
211	1367	5081
212	1369	5058
213	1371	5036
214	1373	5014
215	1375	4990
216	1382	4988
217	1386	4973
218	1389	4955
219	1395	4946
220	1397	4926
221	1400	4908
222	1405	4896
223	1409	4882
224	1411	4863
225	1414	4844
226	1417	4826
227	1427	4832
228	1428	4810
229	1431	4790
230	1432	4769
231	1440	4767
232	1442	4748
233	1445	4730
234	1447	4711
235	1456	4716
236	1459	4697
237	1463	4686
238	1468	4675
239	1471	4658
240	1474	4642
241	1476	4625
242	1483	4620
243	1485	4603
244	1488	4587
245	1491	4570
246	1494	4555
247	1496	4539
248	1501	4527
249	1503	4510
250	1505	4493
251	1509	4481
252	1512	4464
253	1514	4449
254	1521	4445
255	1524	4431
256	1527	4416
257	1529	4399
258	1531	4382
259	1534	4366
260	1535	4349
261	1537	4331
262	1539	4314
263	1541	4297
264	1546	4289
265	1549	4274
266	1554	4266
267	1565	4276
268	1568	4261
269	1570	4246
270	1572	4231
271	1583	4237
272	1586	4224
273	1588	4208
274	1595	4205
275	1597	4189
276	1598	4173
277	1602	4162
278	1608	4157
279	1611	4143
280	1613	4128
281	1616	4114
282	1620	4105
283	1622	4090
284	1625	4077
285	1629	4066
286	1631	4053
287	1639	4052
288	1641	4037
289	1642	4022
290	1645	4008
291	1649	4000
292	1652	3987
293	1657	3979
294	1668	3988
295	1682	4001
296	1686	3991
297	1688	3978
298	1691	3965
299	1698	3964
300	1717	3989
301	1720	3976
302	1724	3966
303	1732	3967
304	1736	3956
305	1738	3943
306	1743	3935
307	1746	3923
308	1750	3915
309	1754	3906
310	1784	3952
311	1787	3940
312	1796	3942
313	1799	3930
314	1801	3917
315	1807	3913
316	1810	3900
317	1813	3888
318	1816	3877
319	1823	3875
320	1826	3863
321	1829	3852
322	1836	3849
323	1839	3837
324	1845	3833
325	1854	3833
326	1857	3822
327	1859	3809
328	1862	3797
329	1864	3785
330	1866	3772
331	1887	3798
332	1893	3793
333	1896	3781
334	1898	3769
335	1904	3764
336	1907	3753
337	1911	3744
338	1921	3747
339	1925	3737
340	1928	3726
341	1931	3715
342	1933	3703
343	1935	3691
344	1939	3682
345	1944	3675
346	1948	3666
347	1953	3660
348	1958	3653
349	1960	3641
350	1962	3629
351	1977	3640
352	1980	3629
353	1982	3618
354	1985	3607
355	1991	3602
356	1996	3595
357	1998	3584
358	2004	3579
359	2008	3569
360	2012	3562
361	2021	3562
362	2023	3551
363	2026	3540
364	2029	3531
365	2034	3524
366	2037	3514
367	2039	3503
368	2042	3492
369	2049	3489
370	2051	3478
371	2055	3469
372	2086	3506
373	2088	3496
374	2091	3485
375	2094	3475
376	2096	3465
377	2099	3454
378	2102	3444
379	2108	3439
380	2111	3430
381	2114	3420
382	2144	3455
383	2149	3447
384	2153	3440
385	2156	3429
386	2158	3419
387	2161	3409
388	2163	3398
389	2166	3389
